Comparison Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
1/13/2005 0:00,20050113,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/14/2005 0:00,20050114,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/15/2005 0:00,20050115,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/16/2005 0:00,20050116,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/17/2005 0:00,20050117,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/18/2005 0:00,20050118,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/19/2005 0:00,20050119,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/20/2005 0:00,20050120,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/21/2005 0:00,20050121,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/22/2005 0:00,20050122,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/23/2005 0:00,20050123,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/24/2005 0:00,20050124,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/25/2005 0:00,20050125,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/26/2005 0:00,20050126,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/27/2005 0:00,20050127,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/28/2005 0:00,20050128,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/29/2005 0:00,20050129,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/30/2005 0:00,20050130,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/31/2005 0:00,20050131,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
2/1/2005 0:00,20050201,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/2/2005 0:00,20050202,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/3/2005 0:00,20050203,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/4/2005 0:00,20050204,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/5/2005 0:00,20050205,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/6/2005 0:00,20050206,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/7/2005 0:00,20050207,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/8/2005 0:00,20050208,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/9/2005 0:00,20050209,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/10/2005 0:00,20050210,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/11/2005 0:00,20050211,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/12/2005 0:00,20050212,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/13/2005 0:00,20050213,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/14/2005 0:00,20050214,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/15/2005 0:00,20050215,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/16/2005 0:00,20050216,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/17/2005 0:00,20050217,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/18/2005 0:00,20050218,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/19/2005 0:00,20050219,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/20/2005 0:00,20050220,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/21/2005 0:00,20050221,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/22/2005 0:00,20050222,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/23/2005 0:00,20050223,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/24/2005 0:00,20050224,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/25/2005 0:00,20050225,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/26/2005 0:00,20050226,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/27/2005 0:00,20050227,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
2/28/2005 0:00,20050228,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/1/2005 0:00,20050301,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/2/2005 0:00,20050302,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/3/2005 0:00,20050303,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/4/2005 0:00,20050304,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/5/2005 0:00,20050305,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/6/2005 0:00,20050306,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/7/2005 0:00,20050307,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/8/2005 0:00,20050308,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/9/2005 0:00,20050309,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/10/2005 0:00,20050310,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/11/2005 0:00,20050311,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/12/2005 0:00,20050312,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/13/2005 0:00,20050313,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/14/2005 0:00,20050314,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/15/2005 0:00,20050315,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/16/2005 0:00,20050316,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/17/2005 0:00,20050317,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/18/2005 0:00,20050318,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/19/2005 0:00,20050319,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/20/2005 0:00,20050320,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/21/2005 0:00,20050321,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/22/2005 0:00,20050322,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/23/2005 0:00,20050323,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/24/2005 0:00,20050324,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/25/2005 0:00,20050325,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/26/2005 0:00,20050326,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/27/2005 0:00,20050327,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/28/2005 0:00,20050328,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/29/2005 0:00,20050329,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/30/2005 0:00,20050330,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
3/31/2005 0:00,20050331,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
4/1/2005 0:00,20050401,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/2/2005 0:00,20050402,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/3/2005 0:00,20050403,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/4/2005 0:00,20050404,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/5/2005 0:00,20050405,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/6/2005 0:00,20050406,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/7/2005 0:00,20050407,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/8/2005 0:00,20050408,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/9/2005 0:00,20050409,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/10/2005 0:00,20050410,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/11/2005 0:00,20050411,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/12/2005 0:00,20050412,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/13/2005 0:00,20050413,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/14/2005 0:00,20050414,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/15/2005 0:00,20050415,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/16/2005 0:00,20050416,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/17/2005 0:00,20050417,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/18/2005 0:00,20050418,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/19/2005 0:00,20050419,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/20/2005 0:00,20050420,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/21/2005 0:00,20050421,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/22/2005 0:00,20050422,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/23/2005 0:00,20050423,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/24/2005 0:00,20050424,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
4/25/2005 0:00,20050425,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/26/2005 0:00,20050426,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/27/2005 0:00,20050427,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/28/2005 0:00,20050428,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
4/29/2005 0:00,20050429,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
