Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
01/31/2005,20050131,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
02/01/2005,20050201,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/02/2005,20050202,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/03/2005,20050203,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/04/2005,20050204,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/05/2005,20050205,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/06/2005,20050206,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/07/2005,20050207,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/08/2005,20050208,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/09/2005,20050209,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/10/2005,20050210,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/11/2005,20050211,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/12/2005,20050212,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/13/2005,20050213,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/14/2005,20050214,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/15/2005,20050215,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/16/2005,20050216,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/17/2005,20050217,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/18/2005,20050218,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/19/2005,20050219,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/20/2005,20050220,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/21/2005,20050221,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/22/2005,20050222,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/23/2005,20050223,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/24/2005,20050224,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/25/2005,20050225,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/26/2005,20050226,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/27/2005,20050227,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
02/28/2005,20050228,2005,CY 2005,20051,Q1-2005,200502,February 2005,2,February,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,8,February,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/01/2005,20050301,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/02/2005,20050302,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/03/2005,20050303,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/04/2005,20050304,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/05/2005,20050305,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/06/2005,20050306,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/07/2005,20050307,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/08/2005,20050308,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/09/2005,20050309,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/10/2005,20050310,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/11/2005,20050311,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/12/2005,20050312,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/13/2005,20050313,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/14/2005,20050314,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/15/2005,20050315,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/16/2005,20050316,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/17/2005,20050317,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/18/2005,20050318,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/19/2005,20050319,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/20/2005,20050320,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/21/2005,20050321,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/22/2005,20050322,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/23/2005,20050323,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/24/2005,20050324,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/25/2005,20050325,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/26/2005,20050326,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/27/2005,20050327,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WeekEnd,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/28/2005,20050328,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/29/2005,20050329,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/30/2005,20050330,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
03/31/2005,20050331,2005,CY 2005,20051,Q1-2005,200503,March 2005,3,March,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,9,March,WorkDay,0,None,Spring/Business,Spring/Back to Business,Spring/Back to School
04/01/2005,20050401,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/02/2005,20050402,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/03/2005,20050403,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/04/2005,20050404,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/05/2005,20050405,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/06/2005,20050406,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/07/2005,20050407,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/08/2005,20050408,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/09/2005,20050409,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/10/2005,20050410,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/11/2005,20050411,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/12/2005,20050412,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/13/2005,20050413,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/14/2005,20050414,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/15/2005,20050415,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/16/2005,20050416,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/17/2005,20050417,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/18/2005,20050418,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/19/2005,20050419,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/20/2005,20050420,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/21/2005,20050421,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/22/2005,20050422,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/23/2005,20050423,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/24/2005,20050424,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
04/25/2005,20050425,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/26/2005,20050426,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/27/2005,20050427,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/28/2005,20050428,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,5,Thursday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/29/2005,20050429,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,6,Friday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WorkDay,0,None,None,None,Spring/Back to School
04/30/2005,20050430,2005,CY 2005,20052,Q2-2005,200504,April 2005,4,April,7,Saturday,2005,FY 2005,4,Q4,20054,Q4-2005,10,April,WeekEnd,0,None,None,None,Spring/Back to School
05/01/2005,20050501,2005,CY 2005,20052,Q2-2005,200505,May 2005,5,May,1,Sunday,2005,FY 2005,4,Q4,20054,Q4-2005,11,May,WeekEnd,0,None,None,None,Tax Time/Summer
05/02/2005,20050502,2005,CY 2005,20052,Q2-2005,200505,May 2005,5,May,2,Monday,2005,FY 2005,4,Q4,20054,Q4-2005,11,May,WorkDay,0,None,None,None,Tax Time/Summer
05/03/2005,20050503,2005,CY 2005,20052,Q2-2005,200505,May 2005,5,May,3,Tuesday,2005,FY 2005,4,Q4,20054,Q4-2005,11,May,WorkDay,0,None,None,None,Tax Time/Summer
05/04/2005,20050504,2005,CY 2005,20052,Q2-2005,200505,May 2005,5,May,4,Wednesday,2005,FY 2005,4,Q4,20054,Q4-2005,11,May,WorkDay,0,None,None,None,Tax Time/Summer
